course_id,cohort_id,faculty_id,weekly_sessions,duration_slots,required_room_type,room_capacity,room_type,slot_id
C01,G1,F1,3,1,classroom,60,classroom,S1
C02,G1,F2,2,1,lab,30,lab,S2
C03,G2,F3,4,1,classroom,60,classroom,S3
C04,G2,F1,2,2,classroom,60,classroom,S4
C05,G1,,3,1,classroom,60,classroom,S5
C01,G2,F2,3,1,lab,30,lab,S6
C02,G2,F3,2,1,classroom,60,classroom,S7
C03,G1,F1,4,2,lab,30,lab,S8
C04,G1,F2,2,1,classroom,60,classroom,S9
C05,G2,F3,3,1,classroom,60,classroom,S10
C01,G1,F1,3,1,classroom,60,classroom,S2
C02,G2,F2,2,1,lab,30,lab,S3
C03,G1,F3,4,1,classroom,60,classroom,S4
C04,G2,F1,2,2,classroom,60,classroom,S5
C05,G1,F2,3,1,classroom,60,classroom,S6
C01,G2,F3,3,1,lab,30,lab,S7
C02,G1,F1,2,1,classroom,60,classroom,S8
C03,G2,F2,4,2,lab,30,lab,S9
C04,G1,F3,2,1,classroom,60,classroom,S10
C05,G2,F1,3,1,classroom,60,classroom,S1
